category,source_type,target_system,priority
命令执行,internet,SOC,1
端口扫描,internet,HONEYPOT,0.5
内网扫描,internal,EDR,0.8
Webshell上传,internet,SANDBOX,0.9
已知恶意IP,any,TIP,1
业务误报,internal,ARCHIVE,0
,,,
,,,
,,,
,,,
,,,
,,,
根据告警类别和来源类型，确定由哪个分析路径处理。,,,
字段,含义,示例值,填写说明
category,告警类别,端口扫描,与表一中的category对应
source_type,来源类型,internet,与表三中的source_type对应
target_system,分流目标,HONEYPOT,SOC / EDR / HONEYPOT / SANDBOX / TIP / ARCHIVE
priority,优先级,0.5,0-1之间，越高越优先处理
,,,
,,,
,,,
分流规则建议：,,,
告警类别,来源类型,分流目标,说明
漏洞利用、命令执行、Webshell,internet,SOC,高价值告警，人工研判
端口扫描、目录扫描,internet,HONEYPOT,探测行为，引流蜜罐收集TTP
内网扫描、横向移动,internal,EDR,内网可疑行为，终端深度分析
可疑文件上传,any,SANDBOX,沙箱动态分析
已知恶意IP,any,TIP,情报自动匹配
内生噪声,internal,ARCHIVE,直接归档
